Requests,Throughput,Mean,stdDev,99per
84675.0,1409.9155011073062,1.083390304271485,0.7469813786517816,3.8433074951171875
112900.0,470.4166554510596,1.178026877708903,0.9593256463297986,5.3997039794921875
141124.0,470.4000990677089,1.167982969614138,0.8954101642181957,5.3386688232421875
169349.0,470.41659937303234,1.1710991679318619,0.9807101322443638,5.3691864013671875
197093.0,462.3999522272795,1.2033602746519054,1.0004420149451032,5.9185028076171875
224269.0,452.92221986966257,1.320501052012095,1.1230595879149692,6.2541961669921875
251170.0,448.35985415122235,1.3400007114365855,1.2590200749654823,7.3223114013671875
278003.0,447.21780222326765,1.3930765957458073,1.2743939943866167,7.3833465576171875
304671.0,444.4211575936032,1.3111172174092136,1.0257294358785314,5.7659149169921875
331865.0,453.27982338874136,1.1855122707684909,0.8155719968885832,4.6367645263671875
359036.0,452.8438747066279,1.453602801102209,1.1373048087806865,6.2847137451171875
385585.0,442.48879986476413,1.3551167765650538,1.1263445951553106,6.2847137451171875
412768.0,453.05036365260065,1.6081109312906054,2.0285712880108933,7.7800750732421875
440052.0,454.73346885446773,1.6424660826102666,1.3375398564712822,7.5969696044921875
466864.0,446.8667341428435,1.301625888373111,0.9307283425873745,5.0640106201171875
494432.0,459.42580804423557,1.303899837106978,0.9348590331070984,5.0334930419921875
521456.0,8691.688065421347,1.4961953011960556,1.1283003044832423,6.1626434326171875
545938.0,9098.95068696365,1.2048238931700241,0.966574112868524,5.1860809326171875
573476.0,9557.910969707786,1.1971384513758756,0.9600480226614254,5.6743621826171875
601327.0,10022.105336451988,1.1899655784188492,0.7858422980935174,4.3926239013671875
629551.0,10492.47891383662,1.1452520225001905,0.8628691188805169,5.0640106201171875
657776.0,10962.903877077282,1.1916964394037437,0.8685865706019085,5.0029754638671875
686001.0,11433.315212845457,1.1661546700431076,0.8390263537998022,4.8809051513671875
713481.0,11891.318320481543,1.1873573188986106,0.9420293739089716,4.8503875732421875
740634.0,12343.589883050481,1.1338264853661901,0.8053945057275804,4.2705535888671875
768859.0,12814.060564887637,1.1591217327565655,0.8702444700399377,4.7893524169921875
797084.0,13285.230811134203,1.3435930600494228,0.9758277514328907,5.2471160888671875
825309.0,13755.11612008746,1.405692107747519,1.2164358762977114,7.0171356201171875
853534.0,14225.531411409107,1.4021527366326167,1.239917586618821,7.0171356201171875
881759.0,14695.949824810627,1.4459329170012107,1.2135330059246732,6.6814422607421875
909984.0,15166.370825002936,1.3177321918514129,1.1265646692154303,6.5288543701171875
938209.0,15636.778113995546,1.3012928018445964,1.211599668472667,6.8950653076171875
966434.0,16107.204288286715,1.3866015722310256,1.2391465105513662,7.1392059326171875
994659.0,16577.615349196167,1.2650297720734265,0.935375329076673,5.0029754638671875
1022884.0,17048.031572020765,1.2884452556275603,1.0751871937423243,5.8269500732421875
1051109.0,17518.4502088362,1.1851043295712467,0.8160543214335685,4.6672821044921875
1079334.0,17988.77917393959,1.2400332671335252,0.8595510432239479,4.8198699951171875
1107559.0,18459.376855824357,1.2458109285474563,0.9322202412123353,5.1555633544921875
1133798.0,18896.600075088343,1.2237527173526839,0.9287201818443982,5.2165985107421875
1161706.0,19361.731640727932,1.1625706381511196,0.8386574924976541,4.7283172607421875
1186922.0,19782.000314426426,1.3232481909907432,0.9654832460992767,5.6133270263671875
1213673.0,20227.848070922082,1.1765115146200138,0.7725441448568497,4.3621063232421875
1241898.0,20698.26674891419,1.2601338814508058,1.0154678094565774,5.8574676513671875
1270123.0,21168.68459508526,1.311267888547658,1.0865586792376656,6.4983367919921875
1298296.0,21638.232301542015,1.3557907106632572,1.3299429121161688,6.7119598388671875
1325027.0,22083.752544835505,1.1975715031103178,0.8070403446855374,4.3926239013671875
1352071.0,22534.464439566942,1.4184856029059414,1.0844476003723782,5.9795379638671875
1379104.0,22985.047124823395,1.1736775526397734,0.8553027253386664,4.7588348388671875
1406018.0,23433.60540077334,1.3092783358088103,1.0632422439972082,6.2541961669921875
1433630.0,23893.79971516371,1.2906714255236054,1.0673212666925331,6.1931610107421875
